rank,title,year
1,Black Adam,2022
2,Barbarian,2022
3,Terrifier 2,2022
4,The School for Good and Evil,2022
5,Ant-Man and the Wasp: Quantumania,2023
6,The Good Nurse,2022
7,The Stranger,2022
8,Black Panther: Wakanda Forever,2022
9,Don't Worry Darling,2022
10,Halloween Ends,2022
11,Kantara,2022
12,Terrifier,2016
13,All Quiet on the Western Front,2022
14,Pearl,2022
15,Ticket to Paradise,2022
16,Smile,2022
17,X,2022
18,Bullet Train,2022
19,The Banshees of Inisherin,2022
20,Hocus Pocus,1993
21,Luckiest Girl Alive,2022
22,Hocus Pocus 2,2022
23,Triangle of Sadness,2022
24,Top Gun: Maverick,2022
25,Hellraiser,2022
26,Amsterdam,2022
27,Tár,2022
28,Nope,2022
29,Halloween,1978
30,Everything Everywhere All at Once,2022
31,Fall,2022
32,Prey for the Devil,2022
33,The Northman,2022
34,Raymond & Ray,2022
35,The Curse of Bridge Hollow,2022
36,Blonde,2022
37,Thor: Love and Thunder,2022
38,Beetlejuice,1988
39,Avatar: The Way of Water,2022
40,Bros,2022
41,The Menu,2022
42,The Woman King,2022
43,The Black Phone,2021
44,Joker: Folie à Deux,2024
45,The Batman,2022
46,Where the Crawdads Sing,2022
47,A Man Called Otto,2022
48,Mr. Harrigan's Phone,2022
49,Top Gun,1986
50,Elvis,2022
51,The Nightmare Before Christmas,1993
52,Watcher,2022
53,Midsommar,2019
54,Glass Onion: A Knives Out Mystery,2022
55,The Lord of the Rings: The Fellowship of the Ring,2001
56,American Psycho,2000
57,Hellraiser,1987
58,A Christmas Story Christmas,2022
59,"Lyle, Lyle, Crocodile",2022
60,Rosaline,2022
61,The Chalk Line,2022
62,Harry Potter and the Sorcerer's Stone,2001
63,Creed III,2023
64,V/H/S/99,2022
65,Halloween,2018
66,It,2017
67,Bodies Bodies Bodies,2022
68,The Whale,2022
69,Scream,2022
70,The Shawshank Redemption,1994
71,The Rocky Horror Picture Show,1975
72,Scream,1996
73,Matriarch,2022
74,Halloween Kills,2021
75,Armageddon Time,2022
76,The Lost City,2022
77,The Godfather,1972
78,A Nightmare on Elm Street,1984
79,Ram Setu,2022
80,The VVitch: A New-England Folktale,2015
81,Decision to Leave,2022
82,My Policeman,2022
83,Till,2022
84,Interstellar,2014
85,Blade of the 47 Ronin,2022
86,Beetlejuice 2,"

60"
87,Friday the 13th,1980
88,Prey,2022
89,Jurassic World Dominion,2022
90,"Argentina, 1985",2022
91,The Munsters,2022
92,The Shining,1980
93,Wendell & Wild,2022
94,Uncharted,2022
95,The Goonies,1985
96,Jeepers Creepers: Reborn,2022
97,Trick 'r Treat,2007
98,Spider-Man: No Way Home,2021
99,Grimcutty,2022
100,Bardo: False Chronicle of a Handful of Truths,2022
